plant_code,group_code,group_name,subgroup_code,subgroup_name,equipment_code,equipment_name,equipment_description,equipment_type,equipment_manufacturer,equipment_model,equipment_serial_number,equipment_voltage_class,equipment_phase_type,equipment_start_date,equipment_latitude,equipment_longitude
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC500,Módulo MC500,N-S-MAIZ-AT702-MC500-IZDJ730,Disjuntor 500kV,Disjuntor 500kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,CIRCUIT_BREAKER,SIEMENS,3AP2 FI,4253,500.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-AT500,Módulo AT500,N-S-MAIZ-AT702-AT500-IZAT702,Autotransformador Nº02 500kV,Autotransformador Nº02 500kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,POWER_TRANSFORMER,NULL,NULL,0,500.000,NULL,2014-02-14,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZSB601,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1065/2010,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC230,Módulo MC230,N-S-MAIZ-AT702-MC230-IZDJ601,Disjuntor 230kV,Disjuntor 230kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,CIRCUIT_BREAKER,SIEMENS,3AP1 FI,4260,230.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT702,Bay 500kV - Autotransformador Nº 02,N-S-MAIZ-AT702-MC500,Módulo MC500,N-S-MAIZ-AT702-MC500-IZST702,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 02 / SE Imperatriz,DISCONNECT_SWITCH,SIEMENS,EVL,1069/2010,500.000,THREE_PHASE,2012-02-11,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZDJ610,Disjuntor 230kV,Disjuntor 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,CIRCUIT_BREAKER,ABB,LTB 245 E11,2GDB847093/02/01,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC69,Módulo MC69,N-S-MAIZ-TF605-MC69-IZSD419,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,ARTECHE,SV-100,49080102A/B/C,69.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC69,Módulo MC69,N-S-MAIZ-TF605-MC69-IZSD420,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,ARTECHE,SV-100,49080101A/B/C,69.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-TF230,Módulo TF230,N-S-MAIZ-TF605-TF230-IZTF605,Transformador Nº05 230kV Trifásico,Transformador Nº05 230kV Trifásico / Transformador de Potência 230kV Nº 05 / SE Imperatriz,POWER_TRANSFORMER,WEG Equipamentos Elétricos,843274675,256190,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC69,Módulo MC69,N-S-MAIZ-TF605-MC69-IZSY409,Chave Seccionadora 69kV,Chave Seccionadora 69kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,ARTECHE,SV-100,49080201A/B/C,69.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZSB619,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,CAMARGO CORREA EQUIP. S.A,SAV,BHS 15421,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC69,Módulo MC69,N-S-MAIZ-TF605-MC69-IZDJ409,Disjuntor 69kV,Disjuntor 69kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,CIRCUIT_BREAKER,ABB,EDFSK1-1,70005732,69.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZSY608,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,CAMARGO CORREA EQUIP. S.A,SAV,BHS 15425,230.000,THREE_PHASE,2008-11-25,NULL,NULL
N-S-MAIZ,N-S-MAIZ-TF605,Transformador de Potência 230kV Nº 05,N-S-MAIZ-TF605-MC230,Módulo MC230,N-S-MAIZ-TF605-MC230-IZSD622,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Transformador de Potência 230kV Nº 05 / SE Imperatriz,DISCONNECT_SWITCH,CAMARGO CORREA EQUIP. S.A,SAV,BHS 15424,230.000,THREE_PHASE,2008-11-25,NULL,NULL
